created,creator,id,is_archived,is_channel,is_general,is_member,is_org_shared,is_shared,name,name_normalized,num_members,previous_names,purpose.creator,purpose.last_set,purpose.value,topic.creator,topic.last_set,topic.value
1490723956,U3X7QV64E,C4RK7ES3G,False,True,False,False,False,False,city-bloomington-in,city-bloomington-in,3,[],U3X7QV64E,1490723956,"D4D efforts connected to the City of Bloomington, IN (there are many Bloomingtons)",,0,
1482091567,U3FQSGHPW,C3GBSF4AY,False,True,False,False,False,False,city-boston,city-boston,98,[],U3FQSGHPW,1482091568,City of Boston-related chatter. ,,0,
1491445516,U4TMX0HFG,C4VU7R4F8,False,True,False,True,False,False,city-boulder,city-boulder,19,[],U4TMX0HFG,1491445516,"Boulder, CO!",,0,
1484094299,U3LBGTXPT,C3PRSV0N6,False,True,False,False,False,False,city-chicago,city-chicago,64,[],,0,,U3Z38J5BR,1489089886,Hackathon 3/31 and 4/1 at Metis in West Loop! Be there!
1488168203,U4AHVAP2N,C4AQ15EQ5,False,True,False,False,False,False,city-cincinnati,city-cincinnati,4,[],,0,,,0,
1484120340,U3GARQRQF,C3QK74HT8,False,True,False,False,False,False,city-columbus,city-columbus,10,[],U3GARQRQF,1484120340,"For people living in, interested in, or analyzing data from Columbus",,0,
1482098910,U3F4XHZ6D,C3G7XPD51,False,True,False,False,False,False,city-dc,city-dc,73,[],U3F4XHZ6D,1482098910,"talk about washington, dc related projects",,0,
1482095097,U3FS36DAP,C3H0M064X,False,True,False,False,False,False,city-denver,city-denver,37,[],,0,,,0,
1488987482,U3SHVMGSH,C4G459RAS,False,True,False,False,False,False,city-detroit,city-detroit,7,[],,0,,,0,
1490630601,U4LLGGS5B,C4Q5R2KDH,False,True,False,True,False,False,city-dfw,city-dfw,8,[],,0,,,0,
1484059702,U3N24KF32,C3Q7C31QE,False,True,False,False,False,False,city-hartford,city-hartford,6,[],U3N24KF32,1484059785,Chat about data efforts in the nutmeg state and the greater Hartford area!,,0,
1494528089,U5B1AC34L,C5CADC9FW,False,True,False,False,False,False,city-honolulu,city-honolulu,1,[],U5B1AC34L,1494528090,"Anyone interested in projects pertaining to Honolulu, HI.",,0,
1484596941,U3PM61CSZ,C3SSQPKSS,False,True,False,True,False,False,city-houston,city-houston,20,[],U3PM61CSZ,1484596941,For people that love data and live in Houston,,0,
1494488996,U5BQWJL4B,C5BUYP5T6,False,True,False,False,False,False,city-london,city-london,5,[],U5BQWJL4B,1494488997,Discussions on projects based in London,,0,
1482939699,U3FDWTM88,C3JMNN7UZ,False,True,False,True,False,False,city-losangeles,city-losangeles,46,[],U3FDWTM88,1482963213,Collaborate on projects in the greater Los Angeles area and nearby counties in the larger Southern California region.,,0,
1482091990,U3GBWSKC6,C3H0ENCCF,False,True,False,False,False,False,city-louisville,city-louisville,32,[],U3GBWSKC6,1482091990,Louisville stuff!,,0,
1497291363,U5P00NNMB,C5RQ5LP9N,False,True,False,False,False,False,city-munich,city-munich,1,['munich'],U5P00NNMB,1497291370,Willkommen im Münchner Channel!,,0,
1482292789,U3HTGLGP8,C3J2X3Z8F,False,True,False,False,False,False,city-nashville,city-nashville,15,[],U3HTGLGP8,1482292790,Nashville/Middle TN projects &amp; discussion!,,0,
